head,winner,loser
burrito,snowplow,waffle iron
tick,quill,fire
carrot,beachball,hamburger
corsage,pita,petal
pig,incubator,button
pocket,rollerblade,cardinal
blazer,hoodie,cardinal
punch,bun,panther
trailer,diamond,cabinet
spinach,bulletproof vest,arugula
amber,corsage,diamond
ship,easel,croissant
matchbox,extinguisher,arugula
kangaroo,jellyfish,thumbtack
bok choy,playpen,flower
sim card,mold,arugula
spinach,burrito,notebook
tee,souffle,paperclip
stroller,suitcase,crab
watch,swan,roulette wheel
boot,playpen,headlamp
compass,ankle,saddle
carousel,knee,urn
cloud,thread,sandbox
torpedo,knee,crank
bow,wing,towel
shopping cart,mosquito,trough
envelope,spider web,paperweight
smoke alarm,raccoon,lip balm
ballot box,computer screen,strawberry
clipper,machete,gumball
sorbet,ketchup,wheel
seagull,charcoal,peacock
stingray,sewage,button
bazooka,centrifuge,pancake
duckling,lamb,helmet
bamboo,straw,sequin
ketchup,mousse,turntable
calamari,juice,train
wooden leg,mousetrap,crystal
teddy bear,sonogram,knife
kale,chips,typewriter
ashtray,eggplant,playpen
magnifying glass,fishhook,eagle
knot,seatbelt,limousine
belt,patch,swan
cannonball,finger,onion
corsage,cleaver,wreath
coconut,tapestry,pea
towel rack,hummingbird,screen
scalpel,tortilla,air pump
weasel,glue,vulture
tennis ball,filter,football helmet
trap,engine,knee
blueberry,grapevine,machine gun
shoehorn,hawk,zipper
bedpan,piggy bank,pony
ice cube,tennis ball,popsicle
road sign,corsage,handlebar
taxi,knee,luggage
luggage,peach,telegraph
surfboard,duffel bag,polar bear
meatloaf,sword,bologna
hairspray,lingerie,crystal
football,grate,mouthpiece
snowball,icemaker,flute
computer,cassette,clipper
grate,bacon,radiator
pomegranate,quiche,baton
easel,swimming pool,knee
cigarette,charcoal,orangutan
cornbread,hamburger,eyeliner
duckling,antelope,curling iron
plaster cast,chaps,spring roll
snowmobile,necklace,bulldozer
mannequin,artichoke,uniform
candelabra,potpourri,duck
peach,magnet,wrap
margarita,wine cooler,face
fish,cactus,jeep
dumbwaiter,hawk,lunchbox
kiwi,blimp,brownie
ottoman,tent,dolphin
soda fountain,pie,lion
deer,hot tub,iguana
chick,panda,nail
orchid,gallows,jalapeno
arch,cilantro,key
turkey,guinea pig,mattress
possum,sloth,tank
peppermint,honeypot,moth
snack,hammer,gumball
toilet paper,raincoat,boar
drain,dumbbell,peach
shopping basket,toaster oven,dynamite
anchor,ant,aircraft carrier
hippopotamus,incense,groundhog
stool,gear,dolphin
tongue,footbath,carriage
curry,pistachio,beaker
perfume,hedgehog,curling iron
robe,neck,abacus
crystal,gem,alpaca
granola,face mask,counter
jumpsuit,leg,knob
turntable,oven,stingray
hip,loincloth,beachball
crab,book,gorilla
pole,pancake,nail file
robot,spider web,piggy bank
deodorant,eagle,mouthpiece
hay,snowsuit,ivy
dessert,potpie,knee
siren,stirrup,raccoon
column,chute,cilantro
gyroscope,shark,parking meter
gyroscope,raccoon,wind chimes
toothbrush,lumber,curling iron
spring roll,lamb chop,coil
retainer,fire,navel
canoe,playpen,gear
sausage,hamburger,kite
beanie,cloak,yacht
penlight,boar,file
needle,eyedropper,shark
rhubarb,sorbet,finger
handcuff,key,jam
lunchbox,cockroach,toy
ice cream,fire,gumdrop
sweater,gun,cushion
grasshopper,monkey,sidecar
flask,panther,sink
olive,camcorder,wheat
cot,knee,copier
coffee pot,mailbox,moth
violin,trombone,wire
lip balm,faucet,cockroach
flagpole,barbed wire,powder
trombone,diamond,barbell
wine cooler,beaver,pump
iguana,fire,eggplant
medal,hinge,chipmunk
ratchet,ankle,shears
kiwi,bok choy,dagger
melon,basil,banjo
log,wheat,knee
grass,cape,potpourri
cordon bleu,okra,baton
strap,springboard,rooster
cape,grape,jacket
scarecrow,icicle,grate
stick,trident,knee
headband,pants,carriage
vial,letter opener,kite
poodle,beetle,jar
duckling,jellyfish,tile
eggshell,throne,toast
trunk,pony,doorknob
mold,candy cane,crow
handle,tab,whale
cleat,corsage,perfume
face mask,shoehorn,patty
marble,groundhog,crystal ball
sheet,briefcase,first-aid kit
moss,sofa bed,guardrail
bedpost,rocking horse,owl
yolk,sorbet,footprint
oyster,batter,grate
train set,rocket,milk
food processor,hawk,bolt
napkin ring,kayak,brooch
ice-cream cone,whale,pistachio
switch,vulture,jack
harmonica,diaper,pot
cashew,trolley,lasagna
top hat,badge,whale
mango,mustard,playpen
jersey,card,deer
scorpion,reindeer,handkerchief
sequin,gumball,wasp
cello,pulpit,flamethrower
water fountain,juicer,garter
bolt,revolving door,raccoon
gravestone,viewfinder,cream
onion,nacho,handcuff
scalpel,chainsaw,basil
wine bottle,gutter,aardvark
noisemaker,bag,toad
ostrich,birthday cake,peacock
plum,tortellini,crane
beaver,valve,fox
daisy,broccoli,cooler
gauge,handbrake,basil
tick,tadpole,trombone
sledgehammer,veil,holster
fox,porcupine,toothpaste
honeycomb,eyeliner,onion
dish,gyroscope,knee
torch,candle,donkey
doghouse,marshmallow,gravestone
dice,knee,mantle
flan,footrest,garlic
magnet,raccoon,watch
bowl,oilcan,grate
train set,cream,photograph
stretcher,generator,gyro
folder,bank,panther
ottoman,slug,icemaker
lifesaver,sloth,timer
christmas card,cilantro,eraser
cilantro,baton,sprouts
briefcase,cockroach,collar
bank,cage,goose
nightshirt,wetsuit,melon
cuckoo clock,face,trophy
cruise ship,train,hedge
dashboard,crayon,turnstile
wrapping paper,firewood,velcro
gargoyle,thread,dalmatian
dice,vulture,jewel
barrette,okra,razor
bomb,bowling ball,waterwheel
omelet,shell,tooth
container,raccoon,altar
cart,fence,knee
wineglass,pot,guinea pig
teepee,gumball,hook
drum,stereo,salad
nacho,filter,almond
bark,pacifier,coop
coal,extinguisher,beanie
clipper,jalapeno,trombone
earring,fire,jumpsuit
compost,chandelier,bumper
wreath,sidecar,fern
ear,shell,puppet
football,finger,scooter
coffee table,hook,finger
ladder,pelican,chime
beard,mosquito net,sequin
dip,anchor,wineglass
muffin,spoon,sword
cucumber,sushi,yo-yo
sugar cube,clay,space shuttle
ruler,doorknocker,rabbit
spatula,rhinoceros,whisk
wheel,hole,handkerchief
otter,notebook,spider
bulletin board,lightbulb,swan
mouse,marble,tadpole
sheep,stretcher,meerkat
praying mantis,match,stingray
xylophone,hamster,ping-pong table
recliner,copier,pear
orchid,firetruck,poinsettia
thumb,carriage,bone
box,window,knee
buckle,tab,bell pepper
boy,bucket,mouth
peach,wood,cheeseburger
dirt bike,spring roll,scoreboard
undershirt,tube top,chisel
wheat,teepee,beaker
fudge,windsock,cashew
cable,nut,hotplate
blowgun,pancake,ski pole
wheelbarrow,trowel,finger
stump,column,scalpel
loveseat,cockatoo,coop
smoothie,icemaker,record
chest,shoulder,airplane
aardvark,mantle,hyena
goblet,polar bear,bell
handkerchief,bandage,power line
chest,wrist,strainer
wok,ram,lamb chop
pedal,barbed wire,ferret
candy,jeep,counter
grenade,first-aid kit,bullet
parsley,walnut,chandelier
dumbbell,ram,sweeper
birdhouse,gate,knee
scarf,jet,mouth
hubcap,gyroscope,breakfast
aardvark,pheasant,gravel
coaster,measuring cup,grate
cantaloupe,ladder,saltshaker
mug,vulture,beanbag
sweeper,gumball,swing set
hot chocolate,fig,train
toaster oven,potpie,flower
lip balm,floss,grate
chinaware,badger,microwave
crouton,seaplane,chicken
snow,window,thread
overalls,crystal,skirt
gurney,headrest,cream
cellphone,flower,memory stick
punch,latte,gazelle
desk,treadmill,cocoon
tile,stockings,coop
projector,sweeper,corsage
bell pepper,brownie,sawhorse
motorcycle,speedometer,croissant
latch,papaya,nail file
creme brulee,blender,crayon
boomerang,clarinet,honeycomb
mixer,butter,lion
spider,frog,rack
pizza,juicer,tinsel
eye patch,headset,parfait
applesauce,wing,stir fry
centrifuge,tab,cockroach
football helmet,boar,lens
golf cart,rabbit,handbrake
rollerblade,poinsettia,steamroller
harp,spider,stirrup
creme brulee,wineglass,harp
rake,ramp,cockroach
safety pin,hot-air balloon,bedpost
tattoo,strainer,plaster cast
flower,truck,pomegranate
pen,nail file,crystal
balance beam,chair,vulture
sock,grate,muff
spatula,jump rope,eagle
ice cube,chicken,quad
slime,shell,pinwheel
dishwasher,toolbox,meerkat
dress,arugula,yarn
safety pin,seagull,harmonica
dollhouse,dolphin,flag
rocking chair,step stool,tiger
windsock,sandwich,antenna
space shuttle,steamroller,zebra
quad,marijuana,carriage
muff,gumball,snow
helicopter,pancake,wheelbarrow
lifesaver,aardvark,basketball
crib,modem,coal
shutter,rake,whale
insole,test tube,cot
scissors,pitchfork,stuffing
doorknob,slingshot,meerkat
bowler hat,fishnet stockings,crystal
sweatsuit,ski boots,gumball
hot-air balloon,blimp,papaya
punch,chime,avocado
game,license plate,piglet
beaver,alpaca,trombone
squirt gun,tooth,bubble wrap
octopus,kitten,stroller
crane,seaplane,beet
spider,alligator,tennis ball
stamp,knee,rug
rollerblade,payphone,piglet
sewing kit,spoon,knee
rudder,knee,shoe
tugboat,torpedo,cobra
asparagus,tuba,pole
footprint,tuning fork,log
dishwasher,aardvark,hard disk
jewelry,jukebox,swan
rim,snowmobile,foot
paper bag,whale,block
saltshaker,raccoon,candy
film,okra,cleat
shield,compass,goat
diskette,pedometer,whale
porthole,lamb,cement mixer
trunk,satellite,panther
pepper,uniform,salad
dreidel,teabag,whale
airplane,bomb,moss
boomerang,duffel bag,rabbit
tostada,pudding,quad
roulette wheel,hula hoop,ankle
windshield wiper,honeycomb,smoke alarm
raspberry,parsley,aircraft carrier
pulley,milk,spark plug
latch,wire cutters,flower
scrambled egg,dessert,flipper
dustpan,boar,pendulum
tongs,panther,penholder
computer,radio,calf
footbath,revolver,razor
periscope,bowling ball,leash
kite,balloon,seal
shopping cart,tape recorder,poinsettia
wheat,scrambled egg,bathtub
espresso,steak,jetski
corn,jet,pea
tiramisu,shell,coffeemaker
punch,sweet potato,gazelle
cake,splinter,grits
cheeseburger,tongue,screwdriver
washing machine,revolving door,vulture
towel rack,counter,shell
cot,corsage,basketball hoop
eyepiece,paper plate,glasses
rattle,mouthpiece,train
anchor,air pump,spider web
whipped cream,bacon,jeep
jackhammer,enchilada,chest
bucket,cement mixer,flower
tack,rabbit,hammer
flag,soap,swizzle stick
card,confetti,vulture
hip,beachball,pipe
urn,turnstile,gopher
engine,pocket watch,pony
gun,trigger,snack
pipe,diamond,splinter
cilantro,bookmark,fig
volleyball,rollerskate,crab
crib,green beans,ping-pong table
tiara,spur,cabbage
necklace,harness,fire
snowboard,gondola,grate
waffle iron,pigeon,pepperoni
punching bag,poinsettia,viewfinder
finger,straw,bracelet
wine,bus,urn
album,board game,eagle
counter,rabbit,bulletin board
blower,hotplate,swan
woman,snowsuit,bowling ball
dolphin,fish,printer
undershirt,spacesuit,shell
eel,pony,jeep
cracker,gallows,espresso
pancake,cordon bleu,nightshirt
gramophone,dish,mango
braid,beaker,boa
donkey,baton,monkey
coleslaw,meat,book
soap,tarantula,icemaker
mustard,oil,airplane
pencil sharpener,valve,artichoke
banana,humvee,ice cream
machete,road sign,gumball
ivy,clarinet,bee
kazoo,tripod,cockroach
chest,pants,barrel
pastry,rack,tostada
sheet,shower curtain,beaver
pearl,lens,jeep
padlock,dumbbell,piglet
speedometer,telephone pole,vulture
hydrant,brake,cabbage
rack,guacamole,tuning fork
flyswatter,corkscrew,vulture
gold,horseshoe,grate
brick,rag,pancake
nest,snake,tank
dashboard,apple,luggage
pie,mascara,lettuce
bee,swan,knob
towel,doorstop,mouse
coyote,spider,scalpel
lipstick,rocket,hairdryer
celery,moth,gourd
remote control,eagle,easel
mulch,trombone,handprint
extinguisher,oven,souffle
wrapping paper,fox,incense
music box,shark,toothpick
bank,bedpan,shark
sledgehammer,beer,trumpet
shoe polish,meerkat,guillotine
iguana,leopard,underwear
scuba,jetski,hedge
table,polar bear,incubator
slug,gurney,lobster
map,eraser,boxing gloves
frisbee,lunchbox,grass
juice,bowling ball,pasta
parfait,spider,peppermint
go-kart,napkin,binoculars
wig,knife,tube top
hairbrush,perfume,meerkat
bench,dolphin,coffin
crouton,chisel,gumdrop
bullet,cardinal,air pump
bucket,otter,workbench
antelope,lizard,treasure
dragonfly,flower,diamond
dragonfly,turntable,lizard
lifesaver,raccoon,coaster
toe,chickpea,bracelet
go-kart,roulette wheel,knife
needle,hedgehog,magnet
container,mirror,corsage
pomegranate,stew,baton
feather,trombone,owl
cockroach,koala,charcoal
train set,hook,cream
peppermint,fruit,seaplane
cheetah,notebook,tadpole
panther,paint,chick
swing,pine tree,souffle
polar bear,coyote,school bus
hip,eyepiece,sword
cotton candy,space shuttle,sushi
cheeseburger,jet,eggplant
air mattress,hanger,vulture
snail,calf,wire
nail clippers,cardinal,tape recorder
file,gas mask,badger
cheese,tennis ball,maple syrup
pencil,nutcracker,leopard
eyepiece,soap,neck
playpen,piggy bank,otter
stamp,orange rind,knee
measuring cup,raccoon,shaker
juicer,tuba,petri dish
spatula,swan,sewing machine
cat,paint,tarantula
mouse,alligator,thumbtack
weather vane,gumball,shutter
machete,knee,telegraph
potholder,gazelle,bow
dumpling,bologna,beaker
knee,tattoo,origami
oyster,cookie cutter,chisel
hookah,baton,raccoon
sequin,graffiti,rabbit
iguana,canister,moose
napkin ring,meerkat,saltshaker
ping-pong table,dolly,chipmunk
coal,stalagmite,bowtie
polaroid,piggy bank,piglet
truck,cockatoo,roof rack
hook,tool,cilantro
seatbelt,extinguisher,fly
wagon,shawl,trapdoor
blimp,kite,corsage
mast,crane,skull
ratchet,beet,fountain pen
soda fountain,scrambled egg,knee
pita,cabbage,scuba
stake,knee,arch
hobbyhorse,penholder,knee
roller coaster,headlamp,hedgehog
goggles,pineapple,hot-water bottle
glass,cockatoo,champagne
trashcan,clothesline,hawk
glass,counter,rabbit
weasel,aardvark,kite
incense,totem pole,knife
red carpet,brace,badger
bouquet,cranberry,flagpole
sandpaper,cork,diamond
cranberry,juicer,shower
roller coaster,jack,zucchini
belt buckle,balance beam,artichoke
sonogram,incubator,violin
can opener,engine,cobra
gourd,strawberry,jetski
possum,hawk,satellite dish
door,rust,moth
knitting needle,boar,cleaver
incubator,turf,grate
step stool,smoke alarm,duckling
mantle,badger,doorstop
sloth,pelican,jigsaw puzzle
recliner,peach,bassinet
soda fountain,prune,rabbit
sunflower,chime,sewage
caterpillar,horse,match
hook,sim card,poinsettia
sparkler,bear,pipe
cork,poker,cardinal
lizard,record player,piggy bank
shoe,melon,luggage
bongo,puck,hedgehog
jump rope,piglet,visor
roof rack,whale,odometer
shelf,abacus,goose
bookshelf,caterpillar,doorknob
walnut,nut,kayak
leotard,shell,blinder
dragonfly,rat,button
wallet,artichoke,chopsticks
glasses,moth,gyroscope
praying mantis,seatbelt,giraffe
xylophone,powder,dollhouse
zucchini,jalapeno,soccer ball
pantyhose,corset,tuba
ski lift,noisemaker,shopping cart
rollerblade,spider web,top hat
dryer,butterfly,canvas
dresser,hot-water bottle,sloth
palette,teacup,anteater
filter,moose,vent
carousel,palette,finger
shopping basket,cooker,rooster
dumbwaiter,mirror,corsage
comb,playpen,needle
wasp,button,blowfish
odometer,knee,snowplow
screwdriver,elephant,cutting board
wax paper,spatula,rooster
sewing machine,raccoon,awning
dirt bike,raspberry,scoreboard
coal,bathtub,powder
lollipop,gun,jam
bumper,trolley,knee
powder,twig,airplane
playpen,fern,toy
shark,porcupine,engine
panda,jet,fly
medal,trophy,beaver
candelabra,bank,iguana
sorbet,ladder,candy cane
sponge,stick,turntable
snowshoe,grate,bolo tie
sledgehammer,beer,washboard
chopsticks,yarn,grate
dice,knee,brooch
groundhog,chick,shopping basket
leg,tag,marble
hubcap,blanket,roof rack
hose,jump rope,turkey
gurney,pelican,hearing aid
lollipop,rabbit,pomegranate
wire,mouse,tape measure
buffet,shell,pomegranate
sandbag,boar,cream cheese
shell,dynamite,watermelon
cornbread,cashew,rack
honeycomb,toothbrush,popcorn
barbed wire,mud,cream
pajamas,cream,eye
corn,tuba,bologna
chariot,zucchini,hula hoop
payphone,peach,photograph
burrito,jalapeno,bookshelf
ship,police car,lime
granite,shell,shutter
steering wheel,clasp,peach
gear,swan,router
sock,knob,sleeping bag
television,gas mask,spider web
burrito,macadamia,chime
cheesecake,sidecar,walnut
game,ribbon,otter
wire cutters,quiche,ironing board
dollhouse,paper bag,boar
teabag,melon,knee
bean,finger,guacamole
cigarette butt,grate,straw
icemaker,bracket,knee
videocassette,basil,bulletin board
slot machine,meerkat,gum
drink,shawl,shaker
map,altar,papaya
patch,hawk,backdrop
lab coat,catfish,straightjacket
wetsuit,sail,donut
whale,rabbit,brooch
calzone,grits,beachball
eyepiece,leotard,bell pepper
filter,turkey,rake
lunchbox,patch,beaver
charcoal,wax,snowsuit
puppet,neck,bowling ball
funnel,rabbit,dice
vise,hubcap,raccoon
letter opener,toad,mallet
pendulum,knee,dartboard
yo-yo,hot-air balloon,wine
barbed wire,shutter,knee
zucchini,rocking chair,tulip
seatbelt,duffel bag,hummus
ant,mouse,hatbox
salami,spatula,shell
cilantro,swan,grapevine
fox,necklace,stingray
hairdryer,glue,doll
bonsai,hammock,jet
phone booth,briefcase,goose
cat,french horn,baby
bologna,hairdryer,toast
hip,wick,outfit
caterpillar,slug,chalice
lipstick,nail polish,powder
gramophone,modem,gyro
taillight,revolving door,artichoke
zebra,grate,kangaroo
bear,gurney,beaver
sandwich,gumdrop,ferry
boxing gloves,jersey,grasshopper
banana,pea,grate
extinguisher,artichoke,eyedropper
compost,hole,playpen
corsage,sweater,wreath
breadbox,tugboat,pallet
ottoman,dolphin,outlet
flour,corsage,soup
diaper,shower cap,turntable
gas mask,okra,combination lock
bottle,grate,food processor
plaster cast,pineapple,bolo tie
swab,bison,pill
unicycle,skateboard,squid
sarcophagus,trident,bowling ball
aluminum foil,nutcracker,toe
fencepost,gravestone,gumball
cufflink,grate,mold
chalkboard,artichoke,cellphone
reel,lightbulb,pony
clothesline,stake,cockroach
bolt,raccoon,sarcophagus
hovercraft,bun,ship
turban,lingerie,cabinet
cocoon,bullet,tulip
place mat,money,wolf
highlighter,moose,paper
organ,guitar,hawk
alligator,ant,bassoon
eagle,pug,highlighter
puck,whale,mug
painting,graffiti,fire
paper bag,pillow,tuba
payphone,corsage,globe
hockey stick,latte,fishing pole
photo booth,vulture,rattle
eclair,bread,dynamite
barrette,shoulder,spring roll
knob,bell,iguana
prune,tugboat,teapot
checkbook,okra,duct tape
ski boots,swan,sombrero
cup,petri dish,squirrel
doll,antenna,handprint
lavender,watering can,hubcap
cordon bleu,bell pepper,xylophone
flatiron,chick,earring
bark,garter,christmas tree
boa,anchor,braid
stirrup,car seat,corsage
palette,grate,easter egg
jersey,blouse,meerkat
pickax,gopher,baton
ship,streetlight,yolk
mallet,gramophone,licorice
overalls,eye,tuba
pendulum,knee,copier
meerkat,vial,monkey
inhaler,lantern,papaya
tupperware,bag,dog
diamond,clipper,crystal ball
hula hoop,shell,racehorse
dog,chick,beaker
keg,metronome,rhinoceros
pinball,centrifuge,cream
raft,gong,blowgun
trigger,baton,marshmallow
cookie,green beans,anchor
bell pepper,olive,violin
playing card,hedgehog,lunchbox
taxi,duffel bag,cabbage
bracelet,swan,fuse
rifle,metronome,daisy
flute,rhinoceros,cymbal
inhaler,basil,lip balm
spout,torso,terrarium
dragonfly,rack,owl
sofa bed,ostrich,sandbag
eye patch,skull,souffle
chimney,sawhorse,corsage
meat grinder,pom-pom,appetizer
hummus,screwdriver,spam
rudder,boar,hubcap
firetruck,taillight,orchid
penlight,hockey stick,rabbit
washcloth,sandal,tugboat
fishing pole,pancake,flipper
turnstile,dollhouse,brussels sprouts
can,workbench,boar
cruise ship,wreck,wood
candlestick,doorstop,coral
wrap,cucumber,bullet
gate,stake,cockroach
toothpick,dolphin,swab
pesto,whale,orange
rudder,column,knee
mask,hook,first-aid kit
cord,doll,fishhook
loom,cardboard,broccoli
centerpiece,cockatoo,cigarette holder
electric chair,moth,aircraft carrier
vegetable,chips,ankle
duct,mast,knee
duster,shower cap,grate
dumbwaiter,moth,maple syrup
glue,backgammon,fire
lettuce,waffle,staple gun
gravy,polar bear,hamburger
horse,kangaroo,blimp
hopscotch,diamond,dice
skirt,sweatsuit,wheel
bassinet,papaya,briefcase
doorhandle,sunroof,poodle
crowbar,lettuce,bolt
vulture,pelican,sandal
wire,staple,mole
hobbyhorse,sleeping bag,thread
coil,gyroscope,rat
soda,saw,egg roll
hat,pants,okra
vending machine,computer screen,corsage
windshield,corsage,prism
pearl,porthole,match
lettuce,record,juicer
tape,plunger,poodle
scrabble,chalk,raccoon
kale,tank,melon
rhinoceros,goose,bookshelf
breathalyzer,rabbit,sparkler
wall,grapevine,badger
cheetah,lumber,penguin
stomach,space shuttle,straightjacket
shopping basket,trashcan,hippopotamus
icicle,torpedo,headband
raft,sailboat,notebook
punch,meerkat,wine
lumber,board,burrito
mud,turntable,grain
toaster,sprouts,corsage
top hat,dolphin,wallet
fondue,ashtray,tuba
stake,knee,rake
pacifier,bassinet,board
water fountain,drain,goat
cooler,grill,bird
exerciser,lion,arch
keyhole,knee,seatbelt
gyroscope,ferris wheel,whale
cross,vulture,sledgehammer
wrap,banana,mascara
aquarium,bowling ball,goldfish
bowling ball,marble,blowtorch
envelope,gazelle,marker
dart,christmas card,knee
maple syrup,taffy,raccoon
hot-water bottle,raccoon,drawer
kangaroo,hedgehog,rocking chair
cardboard,beaker,sandpaper
scalpel,mallet,yolk
tuba,french horn,soccer ball
splinter,car,thumb
chicken,candy bar,parachute
crank,lens,vulture
camper,coop,ladybug
porcupine,pigeon,hatbox
otter,grate,hyena
car door,coleslaw,dolly
warthog,treasure,skunk
mussel,juicer,flute
ramp,graffiti,whale
armor,marmalade,shelf
bow,kayak,shoe
strainer,cleat,frog
coin,chalice,warthog
wrench,costume,screw
raisin,calamari,humvee
gate,first-aid kit,doorstop
spaghetti,popcorn,shell
badge,thimble,fire
pineapple,pizza,cabinet
backscratcher,dolphin,gyroscope
pocket watch,turnstile,raspberry
tortellini,mascara,garlic
leotard,shopping basket,sleeping bag
swan,rat,cigarette holder
measuring cup,trough,beaver
pineapple,engine,hummus
knife,wreck,flatiron
apple tree,grits,purse
lingerie,tiara,extinguisher
toothbrush,corkscrew,rat
videocassette,checkbook,piglet
goggles,bra,wood
bikini,bolo tie,shears
curb,ice pack,meerkat
ginger,jet,cooker
starfish,uniform,mosquito
notepad,odometer,guinea pig
bull,bungee,manatee
dial,foot,shield
